상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801845214,재)아름다운가게일산재,주엽점,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,41,경기도,41287,고양시 일산서구,41287560,주엽2동,4128710200,주엽동,4128710200101380000,1,대지,138,,경기도 고양시 일산서구 주엽동 138,412873192094,경기도 고양시 일산서구 중앙로,1493,,4128710200101380000001431,문촌마을유승12단지,경기도 고양시 일산서구 중앙로 1493,411749,10379,,1,,126.754005943,37.6725437892799
MA010120220801745655,구제영미네,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,41,경기도,41150,의정부시,41150510,의정부1동,4115010100,의정부동,4115010100101540004,1,대지,154,4,경기도 의정부시 의정부동 154-4,411503181052,경기도 의정부시 행복로,44,,4115010100101540005000320,명칭없음,경기도 의정부시 행복로 44,480842,11692,,1,,127.050749493092,37.7423986705408
MA010120220802030107,마이다베일,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47861,중고 가구 소매업,41,경기도,41192,부천시 원미구,41192640,중2동,4119210800,중동,4119210800111130000,1,대지,1113,,경기도 부천시 원미구 중동 1113,411923185020,경기도 부천시 원미구 신흥로,150,,4119510800111130001000001,위브더스테이트7단지,경기도 부천시 원미구 신흥로 150,420777,14574,,1,,126.778215953837,37.4975742257317
MA010120220801891817,블러썸,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,41,경기도,41135,성남시 분당구,41135530,수내2동,4113510200,수내동,4113510200100560000,1,대지,56,,경기도 성남시 분당구 수내동 56,411354340035,경기도 성남시 분당구 내정로166번길,7,6,4113510200100560000020049,파크타운대림아파트,경기도 성남시 분당구 내정로166번길 7-6,463727,13599,,1,,127.120406662784,37.3731466521036
MA010120220801753030,태영중고피아노,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,41,경기도,41287,고양시 일산서구,41287550,주엽1동,4128710200,주엽동,4128710200100730000,1,대지,73,,경기도 고양시 일산서구 주엽동 73,412873192094,경기도 고양시 일산서구 중앙로,1388,,4128710200100730000000844,강선마을태영11단지,경기도 고양시 일산서구 중앙로 1388,411742,10366,,3,,126.765682913723,37.6683509877124
MA010120220801970760,금우그린,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11545,금천구,11545610,독산1동,1154510200,독산동,1154510200111360000,1,대지,1136,,서울특별시 금천구 독산동 1136,115454151211,서울특별시 금천구 범안로17길,41,,1154510200111360000012885,진도3차,서울특별시 금천구 범안로17길 41,153836,08586,,1,,126.893401386784,37.4684155073306
MA010120220800456764,아라테크,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,27,대구광역시,27710,달성군,27710256,다사읍,2771025628,다사읍,2771025628115380000,1,대지,1538,,대구광역시 달성군 다사읍 매곡리 1538,277103148027,대구광역시 달성군 다사읍 대실역북로,26,,2771025628115380000000001,대실역청아람2단지,대구광역시 달성군 다사읍 대실역북로 26,711785,42913,,5,,128.467943821378,35.8596150030862
MA010120220800560848,신형중고가전마트,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,11,서울특별시,11380,은평구,11380640,증산동,1138011000,증산동,1138011000101740006,1,대지,174,6,서울특별시 은평구 증산동 174-6,113803005056,서울특별시 은평구 증산로,267,,1138011000101740006011258,명칭없음,서울특별시 은평구 증산로 267,122936,03500,,1,,126.907029299414,37.5818000937958
MA010120220800206427,민들레자원,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,11,서울특별시,11500,강서구,11500550,화곡2동,1150010300,화곡동,1150010300101630005,1,대지,163,5,서울특별시 강서구 화곡동 163-5,115004145027,서울특별시 강서구 강서로18길,110,,1150010300101630005023479,이안하우스,서울특별시 강서구 강서로18길 110,157877,07745,,1,,126.851579721427,37.5350267347471
MA010120220800308882,토탈사운드,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,11,서울특별시,11170,용산구,11170560,원효로1동,1117012200,문배동,1117012200100030003,1,대지,3,3,서울특별시 용산구 문배동 3-3,111703101023,서울특별시 용산구 청파로,213,,1117012200100030003000001,이안용산프리미어,서울특별시 용산구 청파로 213,140100,04315,,1,,126.970321321462,37.5385671039476
MA010120220800584576,J스타일구제,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11380,은평구,11380520,불광1동,1138010300,불광동,1138010300103200001,1,대지,320,1,서울특별시 은평구 불광동 320-1,113803111006,서울특별시 은평구 연서로,258,,1138010300103200001038064,명칭없음,서울특별시 은평구 연서로 258,122861,03350,,1,,126.923349625351,37.619806588606
MA010120220800264197,퀸,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47861,중고 가구 소매업,11,서울특별시,11170,용산구,11170650,이태원1동,1117013000,이태원동,1117013000100220002,1,대지,22,2,서울특별시 용산구 이태원동 22-2,111703102011,서울특별시 용산구 장문로,27,,1117013000100220002000378,청화아파트,서울특별시 용산구 장문로 27,140731,04392,,1,,126.993664521666,37.5291011434526
MA010120220800392220,우진중고가구,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,41,경기도,41192,부천시 원미구,41192560,소사동,4119210600,소사동,4119210600100190002,1,대지,19,2,경기도 부천시 원미구 소사동 19-2,411924352099,경기도 부천시 원미구 부일로585번길,3,,4119510600100190002045114,진성아트빌,경기도 부천시 원미구 부일로585번길 3,420818,14660,,1,,126.795101806529,37.4843689420069
MA010120220800543069,비마이프렌드등촌역점,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11500,강서구,11500510,염창동,1150010100,염창동,1150010100103120000,1,대지,312,,서울특별시 강서구 염창동 312,115002005007,서울특별시 강서구 공항대로,543,,1150010100102740017027797,센터스퀘어,서울특별시 강서구 공항대로 543,157040,07562,,1,,126.866328068222,37.5507397507721
MA010120220800780441,로사,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11650,서초구,11650620,방배3동,1165010100,방배동,1165010100109830025,1,대지,983,25,서울특별시 서초구 방배동 983-25,116504163634,서울특별시 서초구 효령로34길,32,,1165010100109830025010502,동문안,서울특별시 서초구 효령로34길 32,137849,06704,,1,,126.999796492297,37.4802397897416
MA010120220800606365,서강산업,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47861,중고 가구 소매업,29,광주광역시,29170,북구,29170570,임동,2917010500,임동,2917010500101040007,1,대지,104,7,광주광역시 북구 임동 104-7,291704286716,광주광역시 북구 천변우로79번길,77,,2917010500101040007000001,한국아델리움,광주광역시 북구 천변우로79번길 77,500869,61253,,1,,126.889641615363,35.16623573161
MA010120220800045868,대한명품물물,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47861,중고 가구 소매업,11,서울특별시,11650,서초구,11650621,방배4동,1165010100,방배동,1165010100108540024,1,대지,854,24,서울특별시 서초구 방배동 854-24,116504163117,서울특별시 서초구 동광로18길,60,,1165010100108540024024817,명칭없음,서울특별시 서초구 동광로18길 60,137837,06572,,1,,126.990807142619,37.4891594160734
MA010120220800414127,벼룩프라자,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,11,서울특별시,11650,서초구,11650590,방배본동,1165010100,방배동,1165010100122330000,1,대지,2233,,서울특별시 서초구 방배동 2233,116504163677,서울특별시 서초구 방배중앙로21길,55,,1165010100122330000016413,방배현대홈타운3차,서울특별시 서초구 방배중앙로21길 55,137069,06560,,1,,126.984078716796,37.4918256833476
MA010120220801233476,제이씨,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11680,강남구,11680610,대치2동,1168010600,대치동,1168010600103160000,1,대지,316,,서울특별시 강남구 대치동 316,116803122005,서울특별시 강남구 삼성로,212,,1168010600103160000014551,은마,서울특별시 강남구 삼성로 212,135778,06284,,2,,127.068529001798,37.4963839956215
MA010120220800695855,동묘구제,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11110,종로구,11110710,숭인2동,1111017500,숭인동,1111017500102960019,1,대지,296,19,서울특별시 종로구 숭인동 296-19,111104100358,서울특별시 종로구 종로58가길,27,,1111017500102960019000002,삼전솔하임2차,서울특별시 종로구 종로58가길 27,110826,03114,,1,,127.016708183927,37.5724471621336
MA010120220800001040,파도악기,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220800048500,전원악기,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220800048513,우주악기,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220801324992,리싸이클오피스,목동점,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47861,중고 가구 소매업,11,서울특별시,11470,양천구,11470650,신정4동,1147010100,신정동,1147010100109490001,1,대지,949,1,서울특별시 양천구 신정동 949-1,114703114014,서울특별시 양천구 오목로,166,,1147010100109490001003500,푸른힐,서울특별시 양천구 오목로 166,158859,08020,,1,,126.855729158984,37.5247784876339
MA010120220800048569,유신악기,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220800048576,롯데악기,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220800009153,영스뮤직,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,3,,126.987650017666,37.5722224497393
MA010120220801144412,아프리카중고폰대전유성지사,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100105530002,1,대지,553,2,대전광역시 유성구 봉명동 553-2,302003010024,대전광역시 유성구 계룡로,92,,3020011100105530002012627,유성시제이나인파크아파트,대전광역시 유성구 계룡로 92,305301,34179,,1,,127.340419433891,36.3533952347668
MA010120220800714897,나모크래프트랩,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101790020,1,대지,179,20,서울특별시 마포구 동교동 179-20,114404139414,서울특별시 마포구 신촌로4길,5,13,1144012100101790020027148,예림빌딩,서울특별시 마포구 신촌로4길 5-13,121818,04056,,1,,126.929253570041,37.5573174429974
MA010120220801186103,준알뜰매장,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28245,계양구,28245612,계산2동,2824510200,계산동,2824510200109000007,1,대지,900,7,인천광역시 계양구 계산동 900-7,282453155007,인천광역시 계양구 계양산로,84,,2824510200109000007049147,비아루체,인천광역시 계양구 계양산로 84,407801,21038,,1,,126.724746315223,37.547584370573
MA010120220800973497,지엔씨,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11680,강남구,11680610,대치2동,1168010600,대치동,1168010600103160000,1,대지,316,,서울특별시 강남구 대치동 316,116803122005,서울특별시 강남구 삼성로,212,,1168010600103160000014551,은마,서울특별시 강남구 삼성로 212,135778,06284,,1,,127.068529001798,37.4963839956215
MA010120220800370820,비주거용 건물 임대업,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,11,서울특별시,11590,동작구,11590670,신대방1동,1159010900,신대방동,1159010900106860048,1,대지,686,48,서울특별시 동작구 신대방동 686-48,115902005010,서울특별시 동작구 시흥대로,606,,1159010900106860048002147,동작협성휴포레시그니처,서울특별시 동작구 시흥대로 606,156706,07074,,1,,126.905519330553,37.4865000631418
MA010120220801445316,수원굿윌스토어,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,41,경기도,41115,수원시 팔달구,41115650,매교동,4111513200,교동,4111513200101850007,1,대지,185,7,경기도 수원시 팔달구 교동 185-7,411154328143,경기도 수원시 팔달구 매산로104번길,10,,4111513200101850007005260,풍림아이원,경기도 수원시 팔달구 매산로104번길 10,442844,16464,,1,,127.012244103179,37.2701651326711
MA010120220801101178,동부자원,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28140,동구,28140630,송림6동,2814010700,송림동,2814010700100510060,1,대지,51,60,인천광역시 동구 송림동 51-60,281404250106,인천광역시 동구 샛골로184번길,12,,2814010700100510060135387,,인천광역시 동구 샛골로184번길 12,401823,22544,,,,126.646109100786,37.4784574118636
MA010120220801125719,흙속진주,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28177,미추홀구,28177650,주안4동,2817710500,주안동,2817710500114740070,1,대지,1474,70,인천광역시 미추홀구 주안동 1474-70,281772008003,인천광역시 미추홀구 미추홀대로,630,,2817010600114740000193176,,인천광역시 미추홀구 미추홀대로 630,402859,22151,,,,126.680064294965,37.4535783021737
MA010120220801127333,행복한구제,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28237,부평구,28237540,부평4동,2823710100,부평동,2823710100103720001,1,대지,372,1,인천광역시 부평구 부평동 372-1,282373000066,인천광역시 부평구 부흥로,302,,2823710100103720001100544,일부,인천광역시 부평구 부흥로 302,403826,21391,,1,,126.725402870987,37.498139022974
MA010120220801098491,중고가전가구알뜰매장,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47861,중고 가구 소매업,28,인천광역시,28260,서구,28260580,가좌1동,2826011200,가좌동,2826011200101420046,1,대지,142,46,인천광역시 서구 가좌동 142-46,282604268022,인천광역시 서구 가정로126번길,25,1,2826011200101420046019223,,인천광역시 서구 가정로126번길 25-1,404810,22833,,,,126.674693711803,37.4958118213108
MA010120220801107281,개미자원,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28177,미추홀구,28177580,학익1동,2817710300,학익동,2817710300105630012,1,대지,563,12,인천광역시 미추홀구 학익동 563-12,281774253141,인천광역시 미추홀구 노적산로40번길,80,34,2817010300105630024043571,,인천광역시 미추홀구 노적산로40번길 80-34,402865,22205,,,,126.654498009281,37.4391262054872
MA010120220801123419,행복알뜰매장,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28177,미추홀구,28177540,용현1.4동,2817710200,용현동,2817710200101770034,1,대지,177,34,인천광역시 미추홀구 용현동 177-34,281774253526,인천광역시 미추홀구 인주대로224번길,36,,2817010200101770034124628,,인천광역시 미추홀구 인주대로224번길 36,402822,22207,,,,126.660731185985,37.4525873339878
MA010120220801128269,중고가전가구알뜰매장,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28200,남동구,28200550,간석3동,2820010200,간석동,2820010200100010162,1,대지,1,162,인천광역시 남동구 간석동 1-162,282003153031,인천광역시 남동구 만월북로,73,,2820010200100010162022350,,인천광역시 남동구 만월북로 73,405800,21515,,2,,126.717794967146,37.4733434440379
MA010120220801137138,해와달,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,30,대전광역시,30110,동구,30110740,산내동,3011013600,낭월동,3011013600105120000,1,대지,512,,대전광역시 동구 낭월동 512,301104292278,대전광역시 동구 산내로1287번길,50,3,3011013600105140000000001,,대전광역시 동구 산내로1287번길 50-3,300220,34705,,,,127.466009906062,36.2786513628066
MA010120220801120554,종합가전알뜰매장,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28177,미추홀구,28177630,주안2동,2817710500,주안동,2817710500106060008,1,대지,606,8,인천광역시 미추홀구 주안동 606-8,281773151034,인천광역시 미추홀구 한나루로,556,,2817010600106060008043379,외,인천광역시 미추홀구 한나루로 556,402844,22156,,,,126.670560757608,37.4558407559055
MA010120220801120859,터보에어,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28200,남동구,28200660,남촌도림동,2820010800,수산동,2820010800103010000,1,대지,301,,인천광역시 남동구 수산동 301,282003153006,인천광역시 남동구 구수골로,66,,2820010800103010000000001,,인천광역시 남동구 구수골로 66,405290,21590,,,,126.725682501072,37.4340148905901
MA010120220801132448,늘푸른가전,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28140,동구,28140640,금창동,2814010600,금곡동,2814010600100620012,1,대지,62,12,인천광역시 동구 금곡동 62-12,281403149062,인천광역시 동구 샛골로,108,1,2814010600100620014161749,,인천광역시 동구 샛골로 108-1,401060,22567,,,,126.643776615754,37.4720532647842
MA010120220801107982,인천중고가전,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28177,미추홀구,28177590,학익2동,2817710300,학익동,2817710300100020005,1,대지,2,5,인천광역시 미추홀구 학익동 2-5,281773151034,인천광역시 미추홀구 한나루로,447,,2817010300100020005020560,,인천광역시 미추홀구 한나루로 447,402866,22210,,,,126.667174741305,37.4471365264201
MA010120220801129999,금성수족관,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28177,미추홀구,28177630,주안2동,2817710500,주안동,2817710500107150004,1,대지,715,4,인천광역시 미추홀구 주안동 715-4,281774253749,인천광역시 미추홀구 한나루로516번길,1,,2817010600107150004000001,,인천광역시 미추홀구 한나루로516번길 1,402844,22158,,,,126.668335828603,37.4529152631468
MA010120220801099576,３８６제너레이션,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28177,미추홀구,28177710,문학동,2817710700,문학동,2817710700103690008,1,대지,369,8,인천광역시 미추홀구 문학동 369-8,281774253379,인천광역시 미추홀구 소성로318번길,18,12,2817010900103690008194209,,인천광역시 미추홀구 소성로318번길 18-12,402070,22238,,1,,126.682101188178,37.4369511386465
MA010120220801102468,8형제가구만물,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47861,중고 가구 소매업,28,인천광역시,28177,미추홀구,28177610,도화2.3동,2817710400,도화동,2817710400102220004,1,대지,222,4,인천광역시 미추홀구 도화동 222-4,281773151013,인천광역시 미추홀구 숙골로,56,,2817010500102220004180693,,인천광역시 미추홀구 숙골로 56,402808,22118,,,,126.665861946187,37.4678830501632
MA010120220801111363,명품구제,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28237,부평구,28237570,산곡1동,2823710300,산곡동,2823710300100870853,1,대지,87,853,인천광역시 부평구 산곡동 87-853,282373154073,인천광역시 부평구 원적로,305,,2823710300100870853002351,,인천광역시 부평구 원적로 305,403833,21369,,,,126.700169740324,37.5046820244849
MA010120220801128811,명품구제,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28177,미추홀구,28177630,주안2동,2817710500,주안동,2817710500104680008,1,대지,468,8,인천광역시 미추홀구 주안동 468-8,281772008003,인천광역시 미추홀구 미추홀대로,673,,2817010600104680008138468,써즈,인천광역시 미추홀구 미추홀대로 673,402844,22154,,,,126.679843810438,37.4575781860132
MA010120220801111779,모아모아재활용센타,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28110,중구,28110630,용유동,2811015100,덕교동,2811015100100550001,1,대지,55,1,인천광역시 중구 덕교동 55-1,281104247219,인천광역시 중구 용유로93번길,21,,2811015100100550003226752,,인천광역시 중구 용유로93번길 21,400410,22385,,,,126.424987068673,37.4335833151268
MA010120220801103193,형제중고부엌가구,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47861,중고 가구 소매업,28,인천광역시,28177,미추홀구,28177630,주안2동,2817710500,주안동,2817710500104860026,1,대지,486,26,인천광역시 미추홀구 주안동 486-26,281772008003,인천광역시 미추홀구 미추홀대로,641,,2817010600104860026201447,,인천광역시 미추홀구 미추홀대로 641,402844,22155,,,,126.679720400335,37.45471264259
MA010120220801116132,랜드피아노영창삼익,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28200,남동구,28200522,구월4동,2820010100,구월동,2820010100113190002,1,대지,1319,2,인천광역시 남동구 구월동 1319-2,282002008004,인천광역시 남동구 인주대로,828,1,2820010100113190002006788,,인천광역시 남동구 인주대로 828-1,405839,21589,,2,,126.729257999949,37.4483041818402
MA010120220801116232,예본알뜰매장,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28177,미추홀구,28177520,숭의1.3동,2817710100,숭의동,2817710100101110021,1,대지,111,21,인천광역시 미추홀구 숭의동 111-21,281773151030,인천광역시 미추홀구 석정로,95,,2817010100101110014043300,,인천광역시 미추홀구 석정로 95,402813,22104,,,,126.646024002674,37.4677351887967
MA010120220801092446,베토벤피아노,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28200,남동구,28200522,구월4동,2820010100,구월동,2820010100112760001,1,대지,1276,1,인천광역시 남동구 구월동 1276-1,282004259057,인천광역시 남동구 구월남로268번길,19,,2820010100112760001027877,일부,인천광역시 남동구 구월남로268번길 19,405839,21536,,1,,126.719448622728,37.4513267208331
MA010120220801109385,가전제품중고,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28260,서구,28260515,검암경서동,2826010400,경서동,2826010400107330011,1,대지,733,11,인천광역시 서구 경서동 733-11,282604268183,인천광역시 서구 경서로56번길,3,5,2826010400107330011000001,,인천광역시 서구 경서로56번길 3-5,404170,22693,,2,,126.653928606561,37.5577054219956
MA010120220801109514,그린중고가전,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28177,미추홀구,28177600,도화1동,2817710400,도화동,2817710400104330001,1,대지,433,1,인천광역시 미추홀구 도화동 433-1,281773000028,인천광역시 미추홀구 경인로,310,,2817010500104330001054640,,인천광역시 미추홀구 경인로 310,402809,22138,,,,126.674590482954,37.4596451673996
MA010120220801098222,세계푸드머신,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,41,경기도,41570,김포시,41570250,통진읍,4157025023,통진읍,4157025023102290003,1,대지,229,3,경기도 김포시 통진읍 서암리 229-3,415703209008,경기도 김포시 통진읍 검암2로,34,,4157025023102290003013427,외,경기도 김포시 통진읍 검암2로 34,415866,10016,,,,126.597477060347,37.7025032359091
MA010120220801173080,알뜰매장천일,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28237,부평구,28237550,부평5동,2823710100,부평동,2823710100101150022,1,대지,115,22,인천광역시 부평구 부평동 115-22,282373000066,인천광역시 부평구 부흥로,373,1,2823710100101150022111054,,인천광역시 부평구 부흥로 373-1,403817,21353,,,,126.733511266076,37.4981125421182
MA010120220801156442,아름다운가게동재,인천점,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47869,기타 중고 상품 소매업,28,인천광역시,28110,중구,28110585,동인천동,2811013300,내동,2811013300102030003,1,대지,203,3,인천광역시 중구 내동 203-3,281103149034,인천광역시 중구 우현로,63,1,2811013300102000001106685,,인천광역시 중구 우현로 63-1,400150,22316,,1,,126.629109757784,37.4729992441324
MA010120220801143823,행복한중고가전,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,44,충청남도,44200,아산시,44200360,둔포면,4420036021,둔포면,4420036021102540007,1,대지,254,7,충청남도 아산시 둔포면 둔포리 254-7,442004559142,충청남도 아산시 둔포면 둔포중앙로133번길,23,6,4420036021102540007066783,,충청남도 아산시 둔포면 둔포중앙로133번길 23-6,336872,31404,,1,,127.041057742483,36.9292849455317
MA010120220801148677,삼성재활용센타,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,41,경기도,41250,동두천시,41250535,중앙동,4125010300,생연동,4125010300105570043,1,대지,557,43,경기도 동두천시 생연동 557-43,412503189031,경기도 동두천시 중앙로,326,1,4125010300105570043005708,,경기도 동두천시 중앙로 326-1,483800,11325,,1,,127.055481614064,37.9105509703756
