상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800476525,생기보력,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11470,양천구,11470530,목3동,1147010200,목동,1147010200109600000,1,대지,960,,서울특별시 양천구 목동 960,114703114007,서울특별시 양천구 목동중앙북로,7,,1147010200109600000021653,신한이모르젠,서울특별시 양천구 목동중앙북로 7,158053,07946,,2,,126.864486562971,37.5490257557989
MA010120220800492991,장수건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,11,서울특별시,11500,강서구,11500603,가양1동,1150010400,가양동,1150010400114600000,1,대지,1460,,서울특별시 강서구 가양동 1460,115003115013,서울특별시 강서구 허준로,23,,1150010400114600000009726,한강타운,서울특별시 강서구 허준로 23,157752,07524,,3,,126.843595452977,37.5712184949461
MA010120220800507361,마테차조아,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11500,강서구,11500535,등촌3동,1150010200,등촌동,1150010200106620003,1,대지,662,3,서울특별시 강서구 등촌동 662-3,115004145546,서울특별시 강서구 화곡로63길,93,,1150010200106620003025248,신송타워,서울특별시 강서구 화곡로63길 93,157930,07590,,1,,126.84783236387,37.5584479175965
MA010120220800560691,고려홍삼총판,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11380,은평구,11380590,응암2동,1138010700,응암동,1138010700107630000,1,대지,763,,서울특별시 은평구 응암동 763,113803005055,서울특별시 은평구 응암로,282,,1138010700101070014020949,모아아파트,서울특별시 은평구 응암로 282,122012,03465,,1,,126.919851881663,37.5965317098405
MA010120220800672096,고마온,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11620,관악구,11620575,행운동,1162010100,봉천동,1162010100117060001,1,대지,1706,1,서울특별시 관악구 봉천동 1706-1,116204160018,서울특별시 관악구 관악로30길,40,,1162010100117060001033066,우성아파트,서울특별시 관악구 관악로30길 40,151775,08735,,2,,126.961579771627,37.4851170106414
MA010120220800145147,매직점핑다이어트,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,S96129,체형 등 기타 신체 관리 서비스업,43,충청북도,43113,청주시 흥덕구,43113700,운천.신봉동,4311310400,운천동,4311310400106770001,1,대지,677,1,충청북도 청주시 흥덕구 운천동 677-1,431133237036,충청북도 청주시 흥덕구 사운로,257,,4311310400106770001014028,진양아파트,충청북도 청주시 흥덕구 사운로 257,361798,28473,,2,,127.473706777644,36.6500860390413
MA010120220800584545,풍기인삼,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11410,서대문구,11410660,홍은1동,1141011800,홍은동,1141011800100220000,1,대지,22,,서울특별시 서대문구 홍은동 22,114104136428,서울특별시 서대문구 홍은중앙로1길,33,,1141011800100220000000004,유원,서울특별시 서대문구 홍은중앙로1길 33,120774,03613,,1,,126.945091594761,37.5971948640781
MA010120220800821439,리오단주,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11650,서초구,11650621,방배4동,1165010100,방배동,1165010100130010002,1,대지,3001,2,서울특별시 서초구 방배동 3001-2,116502121002,서울특별시 서초구 서초대로,3,4,1165010100130010002000002,방배디오슈페리움1차,서울특별시 서초구 서초대로 3-4,137974,06568,,3,,126.983062337456,37.4859960214662
MA010120220800033400,정관장,광화문점,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11110,종로구,11110530,사직동,1111011800,내수동,1111011800100950000,1,대지,95,,서울특별시 종로구 내수동 95,111104100135,서울특별시 종로구 사직로8길,20,,1111011800100950000029035,파크팰리스,서울특별시 종로구 사직로8길 20,110901,03174,,1,,126.970590296106,37.5739313227929
MA010120220800308338,부평열린식품,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28237,부평구,28237648,삼산2동,2823710500,삼산동,2823710500104650001,1,대지,465,1,인천광역시 부평구 삼산동 465-1,282373000065,인천광역시 부평구 길주로,623,,2823710500104650001112001,대덕리치아노,인천광역시 부평구 길주로 623,403866,21344,,3,,126.732051422302,37.5078941335314
MA010120220800727499,허브와비타민,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11530,구로구,11530520,구로1동,1153010200,구로동,1153010200106850124,1,대지,685,124,서울특별시 구로구 구로동 685-124,115304148292,서울특별시 구로구 구일로8길,92,,1153010200106850124025013,중앙하이츠아파트,서울특별시 구로구 구일로8길 92,152762,08323,,1,,126.876317640878,37.4977356870058
MA010120220800505279,황금씨앗,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11500,강서구,11500593,화곡8동,1150010300,화곡동,1150010300104100194,1,대지,410,194,서울특별시 강서구 화곡동 410-194,115004145467,서울특별시 강서구 초록마을로30길,1,,1150010300104100194012641,라빌라트,서울특별시 강서구 초록마을로30길 1,157889,07725,,1,,126.848871625051,37.5370054997437
MA010120220800546434,강화홍삼공사주,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11470,양천구,11470570,신월2동,1147010300,신월동,1147010300104460002,1,대지,446,2,서울특별시 양천구 신월동 446-2,114703005067,서울특별시 양천구 월정로,50,,1147010300104460002013374,청솔아파트,서울특별시 양천구 월정로 50,158834,07936,,2,,126.842211592151,37.5242566409646
MA010120220800833668,은혜건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,41,경기도,41273,안산시 단원구,41273510,와동,4127310200,와동,4127310200107220005,1,대지,722,5,경기도 안산시 단원구 와동 722-5,412734373285,경기도 안산시 단원구 와동로1길,10,,4127310200107220005019274,부자명가5차,경기도 안산시 단원구 와동로1길 10,425841,15269,,1,,126.826173220513,37.3324258421219
MA010120220801188718,이든네이처연수지사,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28185,연수구,28185762,연수2동,2818510300,연수동,2818510300106340000,1,대지,634,,인천광역시 연수구 연수동 634,281853152021,인천광역시 연수구 원인재로,180,,2818510300106340000007257,연수우성2차,인천광역시 연수구 원인재로 180,406765,21931,,2,,126.683945029936,37.4122773089911
MA010120220800613941,푸른건강,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11410,서대문구,11410620,홍제1동,1141011100,홍제동,1141011100103310000,1,대지,331,,서울특별시 서대문구 홍제동 331,114104136396,서울특별시 서대문구 통일로39가길,57,,1141011100103310000016747,현대아파트,서울특별시 서대문구 통일로39가길 57,120784,03638,,1,,126.940975550467,37.5898948447426
MA010120220800324025,마커스앤코,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11170,용산구,11170625,한강로동,1117012400,한강로1가,1117012400100640000,1,대지,64,,서울특별시 용산구 한강로1가 64,111702005005,서울특별시 용산구 한강대로,211,,1117012400100640000000001,대우월드마크용산,서울특별시 용산구 한강대로 211,140011,04322,,1,,126.973173153512,37.5371532157505
MA010120220800741851,세진나라,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11530,구로구,11530560,구로5동,1153010200,구로동,1153010200101000008,1,대지,100,8,서울특별시 구로구 구로동 100-8,115303116005,서울특별시 구로구 구로중앙로,68,,1153010200101000008020576,신안타워,서울특별시 구로구 구로중앙로 68,152842,08301,,4,,126.888658009806,37.495936939915
MA010120220800789341,유니베라성남중앙,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,41,경기도,41465,용인시 수지구,41465555,죽전3동,4146510200,죽전동,4146510200103470009,1,대지,347,9,경기도 용인시 수지구 죽전동 347-9,414653205023,경기도 용인시 수지구 달맞이로,59,,4146510200103470009000001,시즌트윈빌,경기도 용인시 수지구 달맞이로 59,448160,16873,,2,,127.117522711705,37.3264762730564
MA010120220800425495,인산죽염대림동,대리점,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11560,영등포구,11560700,대림1동,1156013300,대림동,1156013300109720007,1,대지,972,7,서울특별시 영등포구 대림동 972-7,115604154194,서울특별시 영등포구 대림로8길,17,,1156013300109720007005594,낙원빌라,서울특별시 영등포구 대림로8길 17,150822,07438,,1,,126.905592571449,37.49119437082
MA010120220800599016,홍삼건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,11,서울특별시,11380,은평구,11380625,역촌동,1138010800,역촌동,1138010800100490017,1,대지,49,17,서울특별시 은평구 역촌동 49-17,113803111001,서울특별시 은평구 갈현로,102,,1138010800100490017015620,초원그린빌,서울특별시 은평구 갈현로 102,122900,03415,,1,,126.910871093026,37.6070398261714
MA010120220800660033,잠실성모마취통증의학과의원건강기능,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11710,송파구,11710690,잠실4동,1171010200,신천동,1171010200100170000,1,대지,17,,서울특별시 송파구 신천동 17,117103123023,서울특별시 송파구 올림픽로,435,,1171010200100170000000001,파크리오,서울특별시 송파구 올림픽로 435,138930,05507,,5,,127.104965751666,37.5213601116758
MA010120220801373981,성모,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,41,경기도,41113,수원시 권선구,41113680,권선2동,4111313700,권선동,4111313700111880001,1,대지,1188,1,경기도 수원시 권선구 권선동 1188-1,411134325019,경기도 수원시 권선구 경수대로302번길,32,,4111313700111880001052119,성지,경기도 수원시 권선구 경수대로302번길 32,441718,16585,,2,,127.022261981951,37.252674436889
MA010120220801053264,해피런,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100500000,1,대지,50,,서울특별시 영등포구 여의도동 50,115603118001,서울특별시 영등포구 63로,45,,1156011000100500000031272,시범아파트,서울특별시 영등포구 63로 45,150761,07344,,1,,126.93731918981,37.5213540815575
MA010120220801086253,시즌글라스원인재역점,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28185,연수구,28185762,연수2동,2818510300,연수동,2818510300106340000,1,대지,634,,인천광역시 연수구 연수동 634,281853152021,인천광역시 연수구 원인재로,180,,2818510300106340000007257,연수우성2차,인천광역시 연수구 원인재로 180,406765,21931,,1,,126.683945029936,37.4122773089911
MA010120220800857628,대주유통,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11470,양천구,11470590,신월4동,1147010300,신월동,1147010300105350007,1,대지,535,7,서울특별시 양천구 신월동 535-7,114703114010,서울특별시 양천구 신월로,185,,1147010300105350007011203,로즈그린타운,서울특별시 양천구 신월로 185,158840,08030,,2,,126.843352796413,37.5195008700452
MA010120220801137980,준건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,47,경상북도,47190,구미시,47190583,형곡2동,4719010900,형곡동,4719010900103440006,1,대지,344,6,경상북도 구미시 형곡동 344-6,471904724910,경상북도 구미시 형곡동로2길,5,2,4719010900103440006026055,정우주택13차,경상북도 구미시 형곡동로2길 5-2,730931,39320,,1,,128.336837613462,36.1034224078376
MA010120220801142192,동신상사,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,52,전북특별자치도,52113,전주시 덕진구,52113620,호성동,5211311600,호성동1가,5211311600107320001,1,대지,732,1,전북특별자치도 전주시 덕진구 호성동1가 732-1,521134601502,전북특별자치도 전주시 덕진구 호성1길,33,10,4511311600107320001015713,명칭없음,전북특별자치도 전주시 덕진구 호성1길 33-10,561211,54905,,3,,127.15266728946,35.8561846785973
MA010120220801144826,연세누리소아청소년과,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11230,동대문구,11230610,답십리2동,1123010500,답십리동,1123010500100800000,1,대지,80,,서울특별시 동대문구 답십리동 80,112304115424,서울특별시 동대문구 전농로10길,20,,1123010500100800000000005,답십리청솔우성아파트,서울특별시 동대문구 전농로10길 20,130756,02536,,2,,127.060133089444,37.5746134368266
MA010120220801146443,전주건강원민물나라,신시가지점,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,52,전북특별자치도,52111,전주시 완산구,52111714,효자4동,5211114100,효자동2가,5211114100112660008,1,대지,1266,8,전북특별자치도 전주시 완산구 효자동2가 1266-8,521114598049,전북특별자치도 전주시 완산구 구룡1길,26,,4511114100105530010000001,드림빌,전북특별자치도 전주시 완산구 구룡1길 26,560800,55061,,1,,127.10456105511,35.811470671926
MA010120220800055144,뉴트리메이드,울산삼산점,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,31,울산광역시,31140,남구,31140570,삼산동,3114010500,달동,3114010500113640001,1,대지,1364,1,울산광역시 남구 달동 1364-1,311403170026,울산광역시 남구 삼산로,231,,3114010500113640001000001,울산센트럴자이,울산광역시 남구 삼산로 231,680805,44707,,1,,129.332671245318,35.5388508412383
MA010120220800354303,슈슈,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28237,부평구,28237648,삼산2동,2823710500,삼산동,2823710500104480001,1,대지,448,1,인천광역시 부평구 삼산동 448-1,282373154036,인천광역시 부평구 수변로,334,,2823710500104480001101220,신성미소지움아파트,인천광역시 부평구 수변로 334,403901,21325,,2,,126.739830358944,37.5151105284779
MA010120220801183731,지리산건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,28,인천광역시,28237,부평구,28237642,갈산2동,2823710600,갈산동,2823710600103620000,1,대지,362,,인천광역시 부평구 갈산동 362,282373154003,인천광역시 부평구 갈월서로,45,,2823710600103620000103133,하나상가,인천광역시 부평구 갈월서로 45,403786,21335,,1,,126.722020485069,37.5106370296008
MA010120220800890209,"우리건강식품,보청기",,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,27,대구광역시,27110,중구,27110575,성내2동,2711014300,포정동,2711014300100160000,1,대지,16,,대구광역시 중구 포정동 16,271104223003,대구광역시 중구 경상감영길,111,,2711014300100160000006859,무궁화,대구광역시 중구 경상감영길 111,700010,41918,,1,,128.593529823709,35.872117547162
MA010120220800914712,호주공구,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,41,경기도,41192,부천시 원미구,41192640,중2동,4119210800,중동,4119210800111180001,1,대지,1118,1,경기도 부천시 원미구 중동 1118-1,411923000066,경기도 부천시 원미구 부흥로,339,,4119010800111180001000001,스타팰리움,경기도 부천시 원미구 부흥로 339,420851,14575,,1,,126.780159561084,37.4942171099159
MA010120220800987966,감초당마을,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11545,금천구,11545630,독산3동,1154510200,독산동,1154510200108800008,1,대지,880,8,서울특별시 금천구 독산동 880-8,115454151201,서울특별시 금천구 문성로5길,38,,1154510200108800008009292,쌍용프라임,서울특별시 금천구 문성로5길 38,153818,08547,,1,,126.905224025411,37.4785979823312
MA010120220801021690,천상자임,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11470,양천구,11470530,목3동,1147010200,목동,1147010200109600000,1,대지,960,,서울특별시 양천구 목동 960,114703114007,서울특별시 양천구 목동중앙북로,7,,1147010200109600000021653,신한이모르젠,서울특별시 양천구 목동중앙북로 7,158053,07946,,1,,126.864486562971,37.5490257557989
MA010120220801032674,대치건강생활,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11680,강남구,11680610,대치2동,1168010600,대치동,1168010600109870012,1,대지,987,12,서울특별시 강남구 대치동 987-12,116804166417,서울특별시 강남구 삼성로62길,21,,1168010600109870012013550,명칭없음,서울특별시 강남구 삼성로62길 21,135849,06190,,2,,127.062459485051,37.5001085163514
MA010120220801043890,체온담다,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11740,강동구,11740590,암사3동,1174010700,암사동,1174010700104140002,1,대지,414,2,서울특별시 강동구 암사동 414-2,117403124001,서울특별시 강동구 고덕로,131,,1174010700104140002000001,강동롯데캐슬퍼스트아파트,서울특별시 강동구 고덕로 131,134715,05236,,3,,127.143865244976,37.5550885981567
MA010120220801051096,정관장일산,식사점,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,41,경기도,41285,고양시 일산동구,41285510,식사동,4128510100,식사동,4128510100115330000,1,대지,1533,,경기도 고양시 일산동구 식사동 1533,412854379222,경기도 고양시 일산동구 위시티2로11번길,11,,4128510100115330000000001,휴먼빌일산위시티,경기도 고양시 일산동구 위시티2로11번길 11,410821,10323,,1,,126.81130449765,37.6771182272959
MA010120220801057688,시너지월드와이드주,코리아,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11740,강동구,11740620,천호3동,1174010900,천호동,1174010900105710000,1,대지,571,,서울특별시 강동구 천호동 571,117402000008,서울특별시 강동구 천호대로,1077,,1174010900104480000000001,래미안강동팰리스,서울특별시 강동구 천호대로 1077,134023,05340,,2,,127.131430214617,37.5372633255282
MA010120220801126051,성모건강,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28177,미추홀구,28177660,주안5동,2817710500,주안동,2817710500100140032,1,대지,14,32,인천광역시 미추홀구 주안동 14-32,281773151030,인천광역시 미추홀구 석정로,387,,2817010600100140032173870,,인천광역시 미추홀구 석정로 387,402836,22126,,,,126.678660705354,37.4672878427541
MA010120220801129563,황토건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,28,인천광역시,28177,미추홀구,28177640,주안3동,2817710500,주안동,2817710500108300027,1,대지,830,27,인천광역시 미추홀구 주안동 830-27,281774253591,인천광역시 미추홀구 인하로222번길,7,,2817010600108300027152140,,인천광역시 미추홀구 인하로222번길 7,402845,22217,,1,,126.672843669102,37.4480894050293
MA010120220801123386,옥설선식,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28177,미추홀구,28177670,주안6동,2817710500,주안동,2817710500109520001,1,대지,952,1,인천광역시 미추홀구 주안동 952-1,281774253026,인천광역시 미추홀구 경원대로852번길,15,,2817010600109520001041311,,인천광역시 미추홀구 경원대로852번길 15,402848,22144,,,,126.690519085247,37.4589401176382
MA010120220801123465,100세시대,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28177,미추홀구,28177670,주안6동,2817710500,주안동,2817710500109180019,1,대지,918,19,인천광역시 미추홀구 주안동 918-19,281773000028,인천광역시 미추홀구 경인로,497,,2817010600109180019180371,,인천광역시 미추홀구 경인로 497,402848,22144,,1,,126.694549060902,37.4601939949633
MA010120220801123539,건강만세,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28200,남동구,28200522,구월4동,2820010100,구월동,2820010100113160004,1,대지,1316,4,인천광역시 남동구 구월동 1316-4,282004259415,인천광역시 남동구 복개서로35번길,17,8,2820010100113160004026312,,인천광역시 남동구 복개서로35번길 17-8,405839,21537,,,,126.726438395947,37.4498474284397
MA010120220801120666,신앙촌상회,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28260,서구,28260542,가정1동,2826010800,가정동,2826010800105010015,1,대지,501,15,인천광역시 서구 가정동 501-15,282604268619,인천광역시 서구 원창로239번길,15,1,2826010800105010015002461,일부,인천광역시 서구 원창로239번길 15-1,404803,22777,,,,126.675962079283,37.5189349988124
MA010120220801123644,인하소아과,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28177,미추홀구,28177590,학익2동,2817710300,학익동,2817710300106610008,1,대지,661,8,인천광역시 미추홀구 학익동 661-8,281773149061,인천광역시 미추홀구 매소홀로,470,,2817010300106610006111392,천일빌딩,인천광역시 미추홀구 매소홀로 470,402042,22223,,2,,126.674350908134,37.4392997012135
MA010120220801131727,바다약국건강식품,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28110,중구,28110630,용유동,2811014900,을왕동,2811014900107270000,1,대지,727,,인천광역시 중구 을왕동 727,281103149033,인천광역시 중구 용유서로,298,,2811014900107270000227653,을왕동3,인천광역시 중구 용유서로 298,400420,22383,,,,126.376215105943,37.4452382203985
MA010120220801090338,성환건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,28,인천광역시,28177,미추홀구,28177680,주안7동,2817710500,주안동,2817710500113150014,1,대지,1315,14,인천광역시 미추홀구 주안동 1315-14,281773008011,인천광역시 미추홀구 인하로,274,18,2817010600113150014097412,,인천광역시 미추홀구 인하로 274-18,402852,22216,,1,,126.678383185212,37.4476270736077
MA010120220801107633,풍기인견홍삼,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28260,서구,28260560,석남2동,2826011000,석남동,2826011000105770047,1,대지,577,47,인천광역시 서구 석남동 577-47,282603156005,인천광역시 서구 가정로,186,,2826011000105770047017589,,인천광역시 서구 가정로 186,404829,22796,,1,,126.672159394628,37.5012739006113
MA010120220801104516,참푸른건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,28,인천광역시,28177,미추홀구,28177680,주안7동,2817710500,주안동,2817710500113410003,1,대지,1341,3,인천광역시 미추홀구 주안동 1341-3,281774253598,인천광역시 미추홀구 인하로266번길,14,,2817010600113410003076609,,인천광역시 미추홀구 인하로266번길 14,402852,22216,,,,126.677672233907,37.4473908741192
MA010120220801110847,강화상회,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28177,미추홀구,28177570,용현5동,2817710200,용현동,2817710200106170034,1,대지,617,34,인천광역시 미추홀구 용현동 617-34,281774253126,인천광역시 미추홀구 낙섬중로46번길,14,,2817010200106170087138674,동쪽,인천광역시 미추홀구 낙섬중로46번길 14,402834,22187,,,,126.638583815236,37.4517378027384
MA010120220801134944,알로에라파,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28177,미추홀구,28177600,도화1동,2817710400,도화동,2817710400104410001,1,대지,441,1,인천광역시 미추홀구 도화동 441-1,281773151034,인천광역시 미추홀구 한나루로,599,,2817010500104410001076064,,인천광역시 미추홀구 한나루로 599,402809,22137,,3,,126.672172571015,37.4594402628274
MA010120220801096631,수인역건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,28,인천광역시,28110,중구,28110540,신흥동,2811012700,신흥동2가,2811012700100170010,1,대지,17,10,인천광역시 중구 신흥동2가 17-10,281102008001,인천광역시 중구 서해대로,464,1,2811012700100170010092663,,인천광역시 중구 서해대로 464-1,400102,22329,,1,,126.635535800185,37.4673338926315
MA010120220801099416,옥설선식,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28177,미추홀구,28177570,용현5동,2817710200,용현동,2817710200106170061,1,대지,617,61,인천광역시 미추홀구 용현동 617-61,281774253123,인천광역시 미추홀구 낙섬중로32번길,3,,2817010200106170061173674,,인천광역시 미추홀구 낙섬중로32번길 3,402834,22187,,1,,126.637365692741,37.4512295064221
MA010120220801102211,자하생식원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28177,미추홀구,28177670,주안6동,2817710500,주안동,2817710500115930029,1,대지,1593,29,인천광역시 미추홀구 주안동 1593-29,281774253075,인천광역시 미추홀구 경인로504번길,16,,2817010600115930029047537,전부,인천광역시 미추홀구 경인로504번길 16,402848,22145,,2,,126.695297751344,37.4595291811574
MA010120220801104823,백령도북포건강원진촌점,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,28,인천광역시,28720,옹진군,28720330,백령면,2872033021,백령면,2872033021106960001,1,대지,696,1,인천광역시 옹진군 백령면 진촌리 696-1,287203158013,인천광역시 옹진군 백령면 백령로,271,,2872033021106960003004171,,인천광역시 옹진군 백령면 백령로 271,409913,23101,,,,124.718065969662,37.970922215237
MA010120220801111106,부성당건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,28,인천광역시,28177,미추홀구,28177670,주안6동,2817710500,주안동,2817710500115920003,1,대지,1592,3,인천광역시 미추홀구 주안동 1592-3,281773000028,인천광역시 미추홀구 경인로,486,,2817010600115920003034024,,인천광역시 미추홀구 경인로 486,402848,22145,,1,,126.693739007156,37.4592728693414
MA010120220801121091,산들건강,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,11,서울특별시,11410,서대문구,11410565,충현동,1141010100,충정로2가,1141010100101570000,1,대지,157,,서울특별시 서대문구 충정로2가 157,114103000008,서울특별시 서대문구 통일로,107,39,1141010400101570000029895,사조빌딩,서울특별시 서대문구 통일로 107-39,120707,03740,,3,,126.966123247813,37.5642083837636
MA010120220801102448,연봉건강원,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,C10796,건강 보조용 액화식품 제조업,28,인천광역시,28720,옹진군,28720330,백령면,2872033022,백령면,2872033022103900006,1,대지,390,6,인천광역시 옹진군 백령면 북포리 390-6,287203158013,인천광역시 옹진군 백령면 백령로,831,,2872033022103900006005556,,인천광역시 옹진군 백령면 백령로 831,409912,23103,,,,124.665594416298,37.9595875099186
MA010120220801124366,자연나라,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,41,경기도,41150,의정부시,41150510,의정부1동,4115010100,의정부동,4115010100100990006,1,대지,99,6,경기도 의정부시 의정부동 99-6,411503181060,경기도 의정부시 시민로,100,,4115010100100990006000001,의정부지하상가,경기도 의정부시 시민로 100,480011,11696,,,,127.047582014251,37.7392465995819
